skill	Id	charclass	skilldesc	srvstfunc	srvdofunc	prgstack	srvprgfunc1	srvprgfunc2	srvprgfunc3	prgcalc1	prgcalc2	prgcalc3	prgdam	srvmissile	decquant	lob	srvmissilea	srvmissileb	srvmissilec	srvoverlay	aurafilter	aurastate	auratargetstate	auralencalc	aurarangecalc	aurastat1	aurastatcalc1	aurastat2	aurastatcalc2	aurastat3	aurastatcalc3	aurastat4	aurastatcalc4	aurastat5	aurastatcalc5	aurastat6	aurastatcalc6	auraevent1	auraeventfunc1	auraevent2	auraeventfunc2	auraevent3	auraeventfunc3	auratgtevent	auratgteventfunc	passivestate	passiveitype	passivestat1	passivecalc1	passivestat2	passivecalc2	passivestat3	passivecalc3	passivestat4	passivecalc4	passivestat5	passivecalc5	passiveevent	passiveeventfunc	summon	pettype	petmax	summode	sumskill1	sumsk1calc	sumskill2	sumsk2calc	sumskill3	sumsk3calc	sumskill4	sumsk4calc	sumskill5	sumsk5calc	sumumod	sumoverlay	stsuccessonly	stsound	stsoundclass	stsounddelay	weaponsnd	dosound	dosound a	dosound b	tgtoverlay	tgtsound	prgoverlay	prgsound	castoverlay	cltoverlaya	cltoverlayb	cltstfunc	cltdofunc	cltprgfunc1	cltprgfunc2	cltprgfunc3	cltmissile	cltmissilea	cltmissileb	cltmissilec	cltmissiled	cltcalc1	*cltcalc1 desc	cltcalc2	*cltcalc2 desc	cltcalc3	*cltcalc3 desc	warp	immediate	enhanceable	attackrank	noammo	range	weapsel	itypea1	itypea2	itypea3	etypea1	etypea2	itypeb1	itypeb2	itypeb3	etypeb1	etypeb2	anim	seqtrans	monanim	seqnum	seqinput	durability	UseAttackRate	LineOfSight	TargetableOnly	SearchEnemyXY	SearchEnemyNear	SearchOpenXY	SelectProc	TargetCorpse	TargetPet	TargetAlly	TargetItem	AttackNoMana	TgtPlaceCheck	ItemEffect	ItemCltEffect	ItemTgtDo	ItemTarget	ItemCheckStart	ItemCltCheckStart	ItemCastSound	ItemCastOverlay	skpoints	reqlevel	maxlvl	reqstr	reqdex	reqint	reqvit	reqskill1	reqskill2	reqskill3	restrict	State1	State2	State3	delay	leftskill	repeat	checkfunc	nocostinstate	usemanaondo	startmana	minmana	manashift	mana	lvlmana	interrupt	InTown	aura	periodic	perdelay	finishing	passive	progressive	general	scroll	calc1	*calc1 desc	calc2	*calc2 desc	calc3	*calc3 desc	calc4	*calc4 desc	Param1	*Param1 Description	Param2	*Param2 Description	Param3	*Param3 Description	Param4	*Param4 Description	Param5	*Param5 Description	Param6	*Param6 Description	Param7	*Param7 Description	Param8	*Param8 Description	InGame	ToHit	LevToHit	ToHitCalc	ResultFlags	HitFlags	HitClass	Kick	HitShift	SrcDam	MinDam	MinLevDam1	MinLevDam2	MinLevDam3	MinLevDam4	MinLevDam5	MaxDam	MaxLevDam1	MaxLevDam2	MaxLevDam3	MaxLevDam4	MaxLevDam5	DmgSymPerCalc	EType	EMin	EMinLev1	EMinLev2	EMinLev3	EMinLev4	EMinLev5	EMax	EMaxLev1	EMaxLev2	EMaxLev3	EMaxLev4	EMaxLev5	EDmgSymPerCalc	ELen	ELevLen1	ELevLen2	ELevLen3	ELenSymPerCalc	aitype	aibonus	cost mult	cost add
Life TapMoncurse	492		life tap		30																3		lifetap	ln34	ln12													damagedinmelee	5	damagedbymissile	5																																				necromancer_curse_cast									steallife					18	30					cursereversevampire		cursecast										1	4		none												SC	SC	S2					4												1						necromancer_curse_cast		((ulvl-18)<(blvl*2)) ? (stat('newskills'.accr)+1) : 1	1																				1	8	4	1	1										ln56	hp % returned							6	radius	1	radius per level	800	duration	0	additional duration/level	100	% damage healed	0	% additional heal/level					1								8																120	18	23	25	45	60	120	18	23	25	45	60									26	30
DecrepifyMoncurse	493		decrepify		30																3		decrepify	ln34	ln12	velocitypercent	par5	attackrate	par5	fireresist	par7	lightresist	par7	coldresist	par7	poisonresist	par7																																								necromancer_curse_cast														18	30					cursedecrepify		cursecast										1	9		none												SC	SC	S2					4												1						necromancer_curse_cast		((ulvl-24)<(blvl*2)) ? (stat('newskills'.accr)+1) : 1	1																				1	3	320	16	1																		6	radius	1	radius per level	800	duration	0	additional duration/level	-33	% slowed			0	%Reduced Resistances			1								8																																				26	40
Lower ResistMoncurse	494		lower resist		30																3		lowerresist	ln34	ln12	fireresist	clc4	lightresist	clc4	coldresist	clc4	poisonresist	clc4																																												necromancer_curse_cast														18	30					curselowerresist		cursecast										1	8		none												SC	SC	S2					4												1						necromancer_curse_cast		((ulvl-1)<(blvl*2)) ? (stat('newskills'.accr)+1) : 1	1																				1	8	10	1	1																-1*ulvl/3	%EleRes Reduced	16	radius	1	radius per level	1500	duration	0	additional duration/level					-20	%Reduced Damage			1								8																510	48	48	48	48	120	510	48	48	48	48	120									51	0
MightAuraEnchanted	495		might		65																73731	might	might		min(ln12,30)	damagepercent	clc1	item_crushingblow	clc2																																																																															1	1	9		none														xx																									((ulvl-1)<(blvl*2)) ? (stat('newskills'.accr)+1) : 1	1									1											1	8	0	0	1	1	1		50						25 + (ulvl *1)	damage%	5	crushing blow%					20	radius	3	additional radius per level													1								8																																				102	0
Holy FireAuraEnchanted	496		holy fire		66																42371	holyfire	holyfireb		min(ln12,30)	fireresist	clc3	passive_fire_mastery	clc1																			firemindam	clc4*par5	firemaxdam	clc4*par5	item_absorbfire_percent	par6																																																								1	0		none														xx																									((ulvl-1)<(blvl*2)) ? (stat('newskills'.accr)+1) : 1	1									1											0	8	0	0	1	1	1		50						-ulvl/5	mastery			-5 - ulvl/5	Reduces Resistances	skill('Attack'.clc4) * ((lvl>=40) ? skill('Attack'.par7) : ((lvl>=20) ? skill('Attack'.par6) : skill('Attack'.par5))) / 100 / 2	Damage (per pulse)	20	radius	3	additional radius per level					0	damage to attack multiplier	5	absorb fire					1				16385				0															fire																					102	10
Blessed AimAuraEnchanted	497		blessed aim		65																73731	blessedaim	blessedaim		min(ln12,30)	item_tohit_percent	clc1	item_deadlystrike	clc2																																																																															1	1	6		none														xx																									((ulvl-12)<(blvl*2)) ? (stat('newskills'.accr)+1) : 1	1									1											0	8	0	0	1	1	1		50						25 + (ulvl *3)	attack rating%	15 + ulvl/5	deadly strike%					20	radius	3	additional radius per level													1								8																																				102	20
Holy FreezeAuraEnchanted	498		holy freeze		81																42371	holywind	holywindcold		min(ln12,30)	coldresist	clc3	passive_cold_mastery	clc1	velocitypercent	clc2	attackrate	clc2	other_animrate	clc2	item_fastercastrate	clc2											coldmindam	clc4*par5	coldmaxdam	clc4*par5	item_absorbcold_percent	par6																																																								1	8		none														xx																									((ulvl-12)<(blvl*2)) ? (stat('newskills'.accr)+1) : 1	1									1											0	8	0	0	1	1	1		50						-ulvl/5	mastery			-5 - ulvl/5	Reduces Resistances	skill('Attack'.clc4) * ((lvl>=40) ? skill('Attack'.par7) : ((lvl>=20) ? skill('Attack'.par6) : skill('Attack'.par5))) / 100 / 2	Damage (per pulse)	20	radius	3	additional radius per level					0	damage to attack multiplier	5	absorb cold					1				16385				0															cold														50							102	20
ConvictionAuraEnchanted	499		conviction		66																42371	conviction	conviction		min(ln12,30)	damageresist	0	fireresist	clc4	coldresist	clc4	lightresist	clc4	magicresist	0	poisonresist	0																																																																								1	6		none		mele												xx	5		1																						((ulvl-30)<(blvl*2)) ? (stat('newskills'.accr)+1) : 1	1									1											0	8	0	0	1	1	1		50						0	phys pierce			0	%lowerRes Magic	-2 - ulvl/4	%LowerRes Elemental	20	radius	3	additional radius per level													1								8																																				102	50
FanaticismAuraEnchanted	500		fanaticism		65																73731	fanaticism	fanaticism		min(ln12,30)	damagepercent	clc1	attackrate	clc2																																																																															1	1	8		none														S1																									((ulvl-30)<(blvl*2)) ? (stat('newskills'.accr)+1) : 1	1									1											0	8	0	0	1	1	1		50						10 + (ulvl *1)	damage%	33 + ulvl/3	attack speed%					20	radius	3	additional radius per level													1								8																																				102	50
Holy ShockAuraEnchanted	501		holy shock		66																42371	holyshock	holyshockb		min(ln12,30)	lightresist	clc3	passive_ltng_mastery	clc1																			lightmindam	clc4*par5	lightmaxdam	clc4*par5	item_absorblight_percent	par6																																																								1	4		none														xx																									((ulvl-6)<(blvl*2)) ? (stat('newskills'.accr)+1) : 1	1									1											0	8	0	0	1	1	1		50						-ulvl/5	mastery	-10 - ulvl/8	slow%	-5 - ulvl/5	Reduces Resistances	skill('Attack'.clc4) * ((lvl>=40) ? skill('Attack'.par7) : ((lvl>=20) ? skill('Attack'.par6) : skill('Attack'.par5))) / 100 / 2	Damage (per pulse)	20	radius	3	additional radius per level					0	damage to attack multiplier	5	absorb ltng					1				16385				0															ltng																					102	30
WolverineAuraEnchanted	502				65																65795	wolverinecontrol	wolverine		min(ln12,30)	damagepercent	clc1	item_tohit_percent	clc2	item_healonstrike	clc3																																																																														1	0		none												SQ	SQ	A1				1																					((ulvl-1)<(blvl*2)) ? (stat('newskills'.accr)+1) : 1	1																								1		1								10 + (ulvl *1)	damage%	10 + (ulvl *3)	attack rating%	15 + ulvl/2	life on strike			20	radius	3	additional radius per level													1								8																																					0
LegionSpawnSoulmancer	503													mephspawnerfinal																																																															sorceress_cast_fire											fire_cast_1								mephspawnerfinal													1	2		none												SC	SC	xx																	1						sorceress_cast_fire			1	20													1						1	8	3	3	1																																2	damage synergy	1								8																																				5	0
LegionPentaSpawn	504													penta_spawn																																																															sorceress_cast_fire											fire_cast_1								penta_spawn													1	2		none												SC	SC	xx																	1						sorceress_cast_fire			1	20													1						1	6	4	1	1																																22	damage synergy	1								7																																				256	1000
NecroSumGolem	505													summgolem																																																															necromancer_curse_cast											druid_fire_cast_2								summgolem													1	2		none												SC	SC	xx																	1						necromancer_curse_cast			1	20													1						1	6	4	1	1																																22	damage synergy	1								7																																				256	1000
NecroSumBlades	506													summblade																																																															necromancer_curse_cast											druid_fire_cast_2								summblade													1	2		none												SC	SC	xx																	1						necromancer_curse_cast			1	20													1						1	6	4	1	1																																22	damage synergy	1								7																																				256	1000
NecroSumDK	507													summdk																																																															necromancer_curse_cast											druid_fire_cast_2								summdk													1	2		none												SC	SC	xx																	1						necromancer_curse_cast			1	20													1						1	6	4	1	1																																22	damage synergy	1								7																																				256	1000
NecroSumMinions	508													summallnec																																																															necromancer_curse_cast											druid_fire_cast_2								summallnec													1	2		none												SC	SC	xx																	1						necromancer_curse_cast			1	20													1						1	6	4	1	1																																22	damage synergy	1								7																																				256	1000
SalvationRand2	509		salvation		65																73731	resistall	resistall		0	damageresist	rand(1,100)	magicresist	rand(1,100)	fireresist	rand(1,100)	lightresist	rand(1,100)	coldresist	rand(1,100)	poisonresist	rand(1,100)																																																																							1	1	8		none														xx																										1	20								1											0	8	0	0	1	1	1		50						rand(1,15)	15 immunity combinations (2 per combo)		Note rand() is fast enough that it changes between		checking ast1, ast2, etc,		Expect new rand() per ast check.	25	base duration	0	duration per level	100	min % resist	0	% resists per level									1								8																																					0
SpawnRandomMob	510													penta_spawn_bolt_explode																																																															sorceress_cast_fire											fire_cast_1								penta_spawn_bolt_explode													1	2		none												SC	SC	xx																	1						sorceress_cast_fire			1	20													1						1	6	4	1	1																																22	damage synergy	1								7																																				256	1000
Soulmancer Aura	511		salvation		65																73731	mancer	mancer		0	damageresist	(stat('map_active'.accr)==1)?200:1	magicresist	(stat('map_active'.accr)==1)?200:1	fireresist	(stat('map_active'.accr)==1)?200:1	lightresist	(stat('map_active'.accr)==1)?200:1	coldresist	(stat('map_active'.accr)==1)?200:1	poisonresist	(stat('map_active'.accr)==1)?200:1																																																																							1	1	8		none														xx																										1	20								1											0	8	0	0	1	1	1		15						rand(1,15)	15 immunity combinations (2 per combo)		Note rand() is fast enough that it changes between		checking ast1, ast2, etc,		Expect new rand() per ast check.	25	base duration	0	duration per level	100	min % resist	0	% resists per level									1								8																																					0
LegionDefenderAura	512		prayer		65																73731	resistall	resistall		60	map_active	1																																																																																		1	7		none														xx																										1	20								1											1	8	0	0	1	1	1		50										par7 * lvl	+MaxHP Bonus	lvl+6	Heals 0.5%/Lvl +3% of Max HP.  See ast1	16	radius	2	additional radius per level	0	hp regen	0	hp regen per level					2	+MaxHP per level			1								8																6	1	2	4	7	10															102	0
LegionAura	513		prayer		65																73731	prayer	prayer		0	passive_dodge	(stat('cha'.accr)==lvl)?1:100	passive_evade	(stat('cha'.accr)==lvl)?1:100	passive_avoid	(stat('cha'.accr)==lvl)?1:100																																																																														1	7		none														xx																										1	20								1											1	8	0	0	1	1	1		50										par7 * lvl	+MaxHP Bonus	lvl+6	Heals 0.5%/Lvl +3% of Max HP.  See ast1	16	radius	2	additional radius per level	0	hp regen	0	hp regen per level					2	+MaxHP per level			1								8																6	1	2	4	7	10															102	0
DaybreakAura	514		daybreakaura		66																42371	ardentdefender	ardentdefender		60	cha	lvl																																																																																		1	6		none														xx	5		1																						((ulvl-30)<(blvl*2)) ? (stat('newskills'.accr)+1) : 1	30	20								1											0	8	0	0	1	1	1		50												ln34	%LowerRes Elemental	16	radius	1	additional radius per level	-11	% resist reduction	-1	% resist reduction per level	-11	min % AC reduction	-1	% AC reduction per level					1								8																																				102	50
SorrowAura	515				65																73731	golden	golden		0	fireresist	"(""rand(1,6)""==1)?200:1"	coldresist	"(""rand(1,6)""==2)?200:1"	lightresist	"(""rand(1,6)""==3)?200:1"	poisonresist	"(""rand(1,6)""==4)?200:1"	magicresist	"(""rand(1,6)""==5)?200:1"	damageresist	"(""rand(1,6)""==6)?200:1"											fade	2																																																											1	1	8		none														xx																										1	20								1											0	8	0	0	1	1	1		100														16	radius	2	additional radius per level	11	min % resist	75	max % resist	1	%absorb							1								8																																				896	64000
RespawnBolt	516		fire bolt											sorrowbolt																																																															sorceress_cast_fire											fire_cast_1								sorrowbolt													1	2		none												SC	SC	xx																	1						sorceress_cast_fire			1	20													1						1	6	4	1	1																																22	damage synergy	1								7															fire	8	3	6	11	21	48	16	4	8	14	25	54									256	1000
OffensiveTeleport	517				27									femissile											par1																																																				sorceress_cast_fire											fire_cast_1								femissile	femissile	femissile									1		1	0		none												SC	SC	xx			1		4			1							1		1		1	2						1																5																1		par1	radius	par2	freq					9	radius	2	frequency	0		0		0		0						1								8															fire																						0
HeroOrbTP	518		fire bolt											heroorbkill																																																															sorceress_cast_fire											fire_cast_1								heroorbkill													1	2		none												SC	SC	xx																	1						sorceress_cast_fire		((ulvl-1)<(blvl*2)) ? (stat('newskills'.accr)+1) : 1	1	20													1						1	8	3	3	1																																2	damage synergy	1								8															fire	16	30	30	45	70	90	20	35	40	55	80	110	ulvl								5	0
MonAxeThrow	519		fire bolt											throwaxe																																																																																		throwaxe													1	2		none												SC	SC	xx																	1									1	20													1						1	8	3	3	1																																2	damage synergy	1								8																																				5	0
EnemyPallyAura	520		prayer		65																73731	resistall	resistall		30	item_absorbfire_percent	15	item_absorbcold_percent	15	item_absorblight_percent	15	item_absorbmagic_percent	10	item_poisonlengthresist	30	item_slow	20																																																																								1	7		none														xx																										1	20								1											1	8	0	0	1	1	1		50										par7 * lvl	+MaxHP Bonus	lvl+6	Heals 0.5%/Lvl +3% of Max HP.  See ast1	16	radius	2	additional radius per level	0	hp regen	0	hp regen per level					2	+MaxHP per level			1								8																6	1	2	4	7	10															102	0
TrollPostAura	521		salvation		65																73731	resistall	resistall		10	damageresist	rand(100,200)	magicresist	rand(100,200)	fireresist	rand(100,200)	lightresist	rand(100,200)	coldresist	rand(100,200)	poisonresist	rand(100,200)																																																																							1	1	8		none														xx																										1	20								1											0	8	0	0	1	1	1		50						rand(1,15)	15 immunity combinations (2 per combo)		Note rand() is fast enough that it changes between		checking ast1, ast2, etc,		Expect new rand() per ast check.	25	base duration	0	duration per level	100	min % resist	0	% resists per level									1								8																																					0
Act5HomeTP	522		fire bolt											act5portalkill																																																															sorceress_cast_fire											fire_cast_1								act5portalkill													1	2		none												SC	SC	xx																	1						sorceress_cast_fire		((ulvl-1)<(blvl*2)) ? (stat('newskills'.accr)+1) : 1	1	20													1						1	8	3	3	1																																2	damage synergy	1								8															fire	16	30	30	45	70	90	20	35	40	55	80	110	ulvl								5	0
SpawnCorpse	523													Spawn_Corpse																																																																																		Spawn_Corpse													1	2		none												SC	SC	xx																	1									1	20													1						1	6	4	1	1																																22	damage synergy	1								7																																				256	1000
SpawnDiabloMinions	524													Spawn_Diablo_Minions																																																																																		Spawn_Diablo_Minions													1	2		none												SC	SC	xx																	1									1	20													1						1	6	4	1	1																																22	damage synergy	1								7																																				256	1000
SpawnGold	525		spawngold											Spawn_Gold																																																																																		Spawn_Gold													1	2		none												SC	SC	xx																	1									1	20													1						1	6	4	1	1																																22	damage synergy	1								7																																				256	1000
Shower of Rocks	526				28												burstrock	burstrock	burstrock																																																																									28					burstrock												1	4		none												SC	SC	xx					4				1								1						sorceress_cast_fire			1	20													1						0	8	1	0	1																skill('Attack'.clc4) * ((lvl>=40) ? skill('Attack'.par7) : ((lvl>=20) ? skill('Attack'.par6) : skill('Attack'.par5))) / 125	damage																	1								0		220						220						(100+stat('passive_phys_mastery'.accr)) * (100+clc4*20)/100-100																						896	64000
Fire Bomb	527				28												firebombcenter	firebombcenter	firebombcenter																																																										druid_firecast_a											druid_fire_cast_2				28					firebombcenter												1	4		none												SC	SC	xx					4				1								1						sorceress_cast_fire			1	20													1						0	8	1	0	1																skill('Attack'.clc4) * ((lvl>=40) ? skill('Attack'.par7) : ((lvl>=20) ? skill('Attack'.par6) : skill('Attack'.par5))) / 100	damage																	1								0															fire	300						300						clc4*250								896	64000
Ice Eruption	528				28												iceeruption center																																																												sorceress_cast_cold											ice_cast_3				28					iceeruption center												1	0		none												SC	SC	xx				1	4				1								1						sorceress_cast_cold			1	20												40	1						1	6	80	1	1										par1	radius	par2	frequency			skill('Attack'.clc4) * ((lvl>=40) ? skill('Attack'.par7) : ((lvl>=20) ? skill('Attack'.par6) : skill('Attack'.par5))) / 100 /2	damage	6	radius	5	Missile delay	0	Change duration in Missiles.xls											1								0															cold	220						220						clc4*100	100							512	8000
Meteorite Shower	529				28												meteoriteshowerstart	meteoriteshowerstart	meteoriteshowerstart																																																										sorceress_cast_fire											fire_cast_2				28					meteoriteshowerstart												1	4		none												SC	SC	xx					4				1								1						sorceress_cast_fire			1	20													1						0	8	1	0	1																skill('Attack'.clc4) * ((lvl>=40) ? skill('Attack'.par7) : ((lvl>=20) ? skill('Attack'.par6) : skill('Attack'.par5))) / 100 /2	damage																	1								0															fire	14	38	47	67	83	101	18	39	49	75	91	112	((skill('Inferno'.blvl)+skill('Fire Wall'.blvl))*par8) + (stat('energy'.accr)/4) + (blvl*5*skill('Kick'.clc1)/100)								5	40
Flamestrike	530				28												flamestrikecontrol	flamestrikecontrol	flamestrikecontrol																																																										druid_firecast_a											fire_cast_2				28					flamestrikecontrol												1	4		none												SC	SC	xx					4				1								1						sorceress_cast_fire			1	20													1						0	8	1	0	1																skill('Attack'.clc4) * ((lvl>=40) ? skill('Attack'.par7) : ((lvl>=20) ? skill('Attack'.par6) : skill('Attack'.par5))) / 100 / 10	damage																	1								0															fire	256						386						clc4*350								896	64000
Shockstrike	531				28												shockstrikecontrol	shockstrikecontrol	shockstrikecontrol																																																										sorceress_cast_lightning											light_cast_1				28					shockstrikecontrol												1	4		none												SC	SC	xx					4				1								1						sorceress_cast_lightning			1	20													1						0	8	1	0	1																skill('Attack'.clc4) * ((lvl>=40) ? skill('Attack'.par7) : ((lvl>=20) ? skill('Attack'.par6) : skill('Attack'.par5))) / 100	damage																	1								0	12														ltng																					896	64000
Froststrike	532				28												froststrikecontrol	froststrikecontrol	froststrikecontrol																																																										sorceress_cast_cold											ice_cast_3				28					froststrikecontrol												1	4		none												SC	SC	xx					4				1								1						sorceress_cast_cold			1	20													1						0	8	1	0	1																skill('Attack'.clc4) * ((lvl>=40) ? skill('Attack'.par7) : ((lvl>=20) ? skill('Attack'.par6) : skill('Attack'.par5))) / 100	damage																	1								0	12														cold																					896	64000
Prime Lightning Spike	533			4	8												primelightningspike	primelightningspike																																																											mephisto_lightning_cast														11	17					primelightningspike	primelightningspike											1	7		rng		miss										A1	A1	xx				1													1									6	20													1		1				1	8	4	1	1										16	# missiles	par3	activation frame	2	triggered	skill('Attack'.clc4) * ((lvl>=40) ? skill('Attack'.par7) : ((lvl>=20) ? skill('Attack'.par6) : skill('Attack'.par5))) / 100	damage	16	number of arrows to fire	0	additional arrows per level	1	Acivation frame of arrows.											1								0															ltng	300						300						clc4*250								384	3000
Meph Orb	534				10												mephistoorb	mephistoorb																																																											necromancer_bone_cast															18					mephistoorb												1	7		none												SC	SC	xx																	1			4			necromancer_bone_cast			36	20													1						1	6	40	2	1										0	+ dmg%					skill('Attack'.clc4) * ((lvl>=40) ? skill('Attack'.par7) : ((lvl>=20) ? skill('Attack'.par6) : skill('Attack'.par5))) / 100	damage																	1								8		300						300						(100+stat('passive_phys_mastery'.accr)) * (100+clc4*20)/100-100	cold	300						300						clc4*250								896	64000
Big War Cry	535				68												bigwarcry																																																																							warcry				25					bigwarcry												1	9		none												SC	SC	xx				1													36	10								1	20													1						1	8	0	0	1																skill('Attack'.clc4) * ((lvl>=40) ? skill('Attack'.par7) : ((lvl>=20) ? skill('Attack'.par6) : skill('Attack'.par5))) / 100	damage	100	stun length	1	stun length per level													1								0															mag																					896	64000
Acid Rain	536				28												acidrainstart	acidrainstart	acidrainstart																																																										andariel_cast_large															28					acidrainstart												1	4		none												A1	A1	xx					4				1								1									1	20													1						0	8	0	0	1																skill('Attack'.clc4) * ((lvl>=40) ? skill('Attack'.par7) : ((lvl>=20) ? skill('Attack'.par6) : skill('Attack'.par5))) / 100	damage																	1								0															pois																					896	64000
Blitz	537				28												blitzcontrol	blitzcontrol	blitzcontrol																																																										sorceress_cast_lightning											light_cast_1				28					blitzcontrol												1	4		none												SC	SC	xx					4				1								1						sorceress_cast_lightning			1	20													1						0	8	1	0	1																skill('Attack'.clc4) * ((lvl>=40) ? skill('Attack'.par7) : ((lvl>=20) ? skill('Attack'.par6) : skill('Attack'.par5))) / 100	damage																	1								0	12														ltng																					896	64000
Cold Bomb	538				28												coldbombcenter	coldbombcenter	coldbombcenter																																																										sorceress_cast_cold											ice_cast_3				28					coldbombcenter												1	4		none												SC	SC	xx					4				1								1						sorceress_cast_fire			1	20													1						0	8	1	0	1																skill('Attack'.clc4) * ((lvl>=40) ? skill('Attack'.par7) : ((lvl>=20) ? skill('Attack'.par6) : skill('Attack'.par5))) / 100	damage																	1								0															cold	300						300						clc4*250	250							896	64000
Thundergeddon	539				124												thundergeddoncontrol	thundergeddoncontrol	thundergeddoncontrol			armageddon		ln12	par3																																																				mephisto_lightning_cast																92					thundergeddonorb			25	frames	25	fall rate	15	slide rate			1	0		none												SC	SC	xx				1	4												1									36	20								1					1						1	8	60	1	1																skill('Attack'.clc4) * ((lvl>=40) ? skill('Attack'.par7) : ((lvl>=20) ? skill('Attack'.par6) : skill('Attack'.par5))) / 100	damage	4500	base duration	100	duration per level	40	radius to drop meteors	4	frame delay between rocks					50	duration synergy	13	damage synergy	1								0															ltng	300	1	1	1	1	1	300	1	1	1	1	1	clc4*60								896	64000
Guided Poison Javelin	540			4	10												guidedpsnjav	guidedpsnjav	guidedpsnjav																																																																								11	18					guidedpsnjav	guidedpsnjav	guidedpsnjav										1	4		rng												A1	A1	xx				1											1		1									20	20													1		1				4	6	48	-1	1										0	+Dmg%					skill('Attack'.clc4) * ((lvl>=40) ? skill('Attack'.par7) : ((lvl>=20) ? skill('Attack'.par6) : skill('Attack'.par5))) / 100 / 2	damage					0	Damage percent	0	damage % per level									1								0	128														pois	1						1						clc4*200	100							640	16000
Meph Spirit	541				10												mephspirit	mephspirit																																																											necromancer_bone_cast															18					mephspirit												1	7		none												SC	SC	xx																	1			4			necromancer_bone_cast			36	20					Bone Spear								1						1	6	40	2	1										0	+Dmg%					skill('Attack'.clc4) * ((lvl>=40) ? skill('Attack'.par7) : ((lvl>=20) ? skill('Attack'.par6) : skill('Attack'.par5))) / 100	damage															30	damage synergy	1								8															mag																					896	64000
Comet	542				28												cometcontrol	cometcontrol	cometcontrol																																																										sorceress_cast_cold											ice_cast_3				28					cometcontrol												1	4		none												SC	SC	xx					4				1								1						sorceress_cast_cold			1	20													1						0	8	1	0	1																skill('Attack'.clc4) * ((lvl>=40) ? skill('Attack'.par7) : ((lvl>=20) ? skill('Attack'.par6) : skill('Attack'.par5))) / 100	damage																	1								0	12														cold														125							896	64000
MonBash	543			32	2																					item_crushingblow	par5 + lvl/par6																																			skill('Berserk'.blvl)*par7																barbarian_grunt_small_1	1																														1	7		h2h		mele										A1	A1	xx				1		1	1								1		1								((ulvl-1)<(blvl*2)) ? (stat('newskills'.accr)+1) : 1	1	20								1					1						0	8	1	0	1										ln12	damage%	ln34	post dmg add		attack rate bonus	0	convert%	150	Damage % base	4	Damage % per level	0	Min Damage (Even 256 per lvl had no effect)	0	Min Damager per level	4	%CrushingBlow	100	Levels per %CBlow	40	+MgcDmg synergy	0	damage synergy	1	48	8		8		112		0	128														mag	257						386						80 * pets - 100								5	0
MonCharge	544			31	67																																																																							1	paladin_charge														25	37																	1	2		none		mele										SQ	A1	xx	4	8	1			1	1								1										((ulvl-12)<(blvl*2)) ? (stat('newskills'.accr)+1) : 1	12	20													1						1	8	3	0											ln34+(skill('Defiance'.blvl)+skill('Vigor'.blvl))*par8	damage %						elem conversion%	150	percent increase in velocity	0	?	500	plus % damage	0	plus % dam per level	2	Trails	0	?			9	damage synergy	1	48	8						8	128																																			5	20
Immolation sentry	545			4										immolationtrap																																																																													11					immolationtrap													1	6		none												SC	SC	xx															1		1									1	20													1		1				1	7	4	1											par1	fire disc radius	par2	damage radius			6	# of shots	4	Fire disc radius	4	Radial Damage Radius											13	damage synergy	1								8															fire																					5	40
PrimeBaalSpear	546		multiple shot	4	8												baalspear	baalspear																																																											baal_novacast											fire_cast_2			11	17					baalspear	baalspear											1	7		rng		miss										A1	A1	xx				1													1								((ulvl-1)<(blvl*2)) ? (stat('newskills'.accr)+1) : 1	1						Magic Arrow								1		1				1	8	4	1	1										par1 +par2*((lvl>=40)?3 :((lvl>=20)?2 :1))	# missiles	par3	activation frame	2	triggered	skill('Attack'.clc4) * ((lvl>=40) ? skill('Attack'.par7) : ((lvl>=20) ? skill('Attack'.par6) : skill('Attack'.par5))) / 100	Damage	3	arrows to fire	2	+Arrows per boss level	1	Acivation frame of arrows.											1	0	0						0															mag	256						320						clc4*70									0
Holy Fire 2	547		holy fire		66																42883	holyfire2	holyfireb		ln12	fireresist	0																					firemindam	enms*par5/256	firemaxdam	exms*par5/256	passive_fire_mastery	10																																																								1	0		none														xx																									((ulvl-1)<(blvl*2)) ? (stat('newskills'.accr)+1) : 1	6	20								1											0	3	0	0	1	1	1		50										50	Pulse Delay			20	radius	0	additional radius per level	-4	pierce	0	pierce/lvl	10	damage to attack multiplier	0	Lowers Fire Resist	0	Lowers Resist synergy (in halves)	0	damage synergy	1				16385				6															fire	12	2	4	6	8	11	32	2	5	7	9	12									102	10
Holy Freeze 2	548		holy freeze		81																303747	holywind2	holywindcold		ln12	coldresist	0																					coldmindam	enms*par5/256	coldmaxdam	exms*par5/256	passive_cold_mastery	10																																																								1	8		none														xx																									((ulvl-1)<(blvl*2)) ? (stat('newskills'.accr)+1) : 1	6	20								1											0	3	0	0	1	1	1		50										50	Pulse Delay			20	radius	0	additional radius per level	-4	pierce	0	pierce/lvl	10	damage to attack multiplier	0	Lowers Cold Resist	0	Lowers Resist synergy (in halves)	0	damage synergy	1				16385				6															cold	12	2	4	6	8	11	32	2	5	7	9	12									102	20
