index	version	enabled	ladder	rarity	nolimit	lvl	lvl req	code	*type	*uber	carry1	cost mult	cost add	chrtransform	invtransform	flippyfile	invfile	dropsound	dropsfxframe	usesound	prop1	par1	min1	max1	prop2	par2	min2	max2	prop3	par3	min3	max3	prop4	par4	min4	max4	prop5	par5	min5	max5	prop6	par6	min6	max6	prop7	par7	min7	max7	prop8	par8	min8	max8	prop9	par9	min9	max9	prop10	par10	min10	max10	prop11	par11	min11	max11	prop12	par12	min12	max12	*eol
Demon's Arch	100	1		1	1	77	80	7s7	Balrog Spear			5	5000	cred	cred						dmg%		400	500	pierce		40	50	lifesteal		4	6	rep-quant	100			swing2		30	30	dmg-norm		12	18	skilltab	2	2	3	crush		4	4	heal-kill		30	30	reanimate	360	5	5	sock		2	2					0
Wraithflight	100	1		1	1	82	85	7gl	Ghost Glaive			5	5000	dblu	dblu						dmg%		400	500	rep-quant	100			lifesteal		4	4	dmg-norm		10	30	ethereal		1	1	pierce		100	100	sock		2	2	move2		30	30	swing2		60	60	noheal		1	1	crush		4	4	reanimate	42	5	5	0
Gargoyle's Bite	100	1		1	1	95	95	7ts	Winged Harpoon	1		5	5000	cgrn	cgrn						dmg%		470	500	rep-quant	100			swing2		100	100	crush		5	5	lifesteal		10	10	dmg-max		50	50	deadly		25	25	allskills		3	3	pierce		40	50	att		333	333	sock		2	2					0
Glasyatalon	100	1		100	1	65	70	7tk	Flying Knife			5	5000	dblu	dblu						dmg%		400	500	swing2		50	50	pierce		40	50	hit-skill	607	6	1	dmg-norm		13	26	hit-skill	616	8	40	hit-skill	610	8	40	dmg-fire		250	500	sock		2	2	dmg-cold	50	250	500	rep-quant	100							0
Warshrike	100	1		1	1	80	82	7bk	Winged Knife			5	5000	bwht	bwht		invtk3				dmg%		400	500	pierce		40	50	swing2		75	75	deadly		25	25	rep-quant	100			att		200	300	sock		2	2	gethit-skill	610	10	45	dmg-norm		16	23													0
Lacerator	100	1		1	1	71	76	7ta	Flying Axe			5	5000	blac	blac						dmg%		400	500	rep-quant	100			swing2		40	40	noheal		1	1	deadly		25	25	hit-skill	606	6	1	bar		3	4	pierce		40	50	att%		50	50	dmg-norm		15	20	sock		2	2	crush		4	4	0
Gimmershred	100	1		1	1	95	95	7b8	Winged Axe	1		5	5000	lgrn							dmg%		400	500	crush		5	5	sock		2	2	hit-skill	604	6	1	swing2		100	100	rep-quant	100			dmg-max		33	33	skill	Double Throw	5	7	pierce		100	100	deadly		25	25	ethereal		1	1					0
ELITE ARMOR																																																																					0
Harlequin Crest	100	1		100	1	66	70	uap	Shako			5	5000	cgrn	cgrn						allskills		2	2	hp		200	250	mana		200	250	mag%		50	50	all-stats		10	20	cast2		15	25	sock		3	3	red-dmg%		10	10																	0
Steelshade	100	1		1	1	74	78	ulm	Armet			5	5000	blac	blac		invhlmu				hpregen/lvl	18			lifesteal		5	6	red-dmg%		10	20	allskills		1	1	sock		3	3	ac%		320	360	res-all		30	30	dex		10	20	ac		200	300													0
Dragonhead	100	1		1	1	76	80	ukp	Hydraskull			5	5000	dred							fireskill		3	3	red-dmg%		10	10	ac%		200	300	sock		2	2	red-dmg		20	25					res-all		15	15	extra-fire		6	6																	0
Nightwing's Veil	100	1		1	1	78	81	uhl	Giant Conch			5	5000	cblu	cblu						allskills		2	2	nofreeze		1	1	ac%		200	300	sock		2	2	abs-cold%		2	2	extra-cold		6	6	dex		50	50	ease		-33	-33																	0
Giantskull	100	1		1	1	83	86	uh9	Bone Visage			5	5000	lgry	lgry						ac%		250	330	sock		3	3	skilltab	8	4	4	str		25	35	crush		2	2	allskills		2	2	ac		250	330	res-all		20	25	cast2		10	20	swing2		10	20	hp%		5	10					0
Andariel's Visage	100	1		1	1	85	88	usk	Demonhead			5	5000	dred	dred						ac%		200	300	res-pois		70	70	allskills		2	2	hp		100	120	str		25	30	res-fire		30	30	melee-skill	609	8	50	noheal		1	1	openwounds		33	33	sock		3	3	poisskill		2	2					0
Veil of Steel	100	1		1	1	90	90	uhm	Spired Helm			5	5000	lgry	lgry						res-all		50	50	ac%		400	500	indestruct		1	1	allskills		1	1	dex		15	25	ac		140	300	sock		3	3	str		15	25	red-dmg%		15	20	hp%		10	10									0
Crown of Ages	100	1		1	1	95	95	urn	Corona	1		5	5000	dgld	dgld						balance2		50	50	res-all		40	50	allskills		3	3	hpregen/lvl	16			indestruct		1	1	red-dmg%		10	15	ac%		400	500	sock		3	3	gold%		50	100	mag%		25	50	hp%		15	15	mana%		15	15	0
Griffon's Eye	100	1		1	1	95	95	ci3	Diadem	1		5	5000	dpur			invgrf				cast2		25	35	allskills		3	3	skill-rand	1	6	215	skill-rand	1	6	215	red-dmg		15	25	res-all		40	40	mana%		15	25	sock		3	3	extra-all		3	3	hp%		1	5	res-mag		10	20					0
Cassis Crista	100	1		1	1	95	95	a09	Adamant Helm	1		5	5000	dgld	dgld						ac%		400	500	allskills		1	1	dmg-norm		10	15	deadly		10	10	openwounds		100	100	red-dmg%		15	20	str		15	20	dex		15	20	sock		3	3	hp%		10	10					ease		15	15	0
Ormus' Robes	100	1		100	1	73	76	uui	Dusk Shroud			5	5000	blac	blac						cast2		25	35	mana%		30	40	regen-mana		100	100	res-all		30	35	allskills		2	2	sock		3	3	extra-all		3	3	hp		100	200	skill-rand	3	6	35	skill-rand	3	36	65	skill-rand	3	66	95	skilltab	17	1	2	0
Wyrmscale	100	1		1	1	78	80	uea	Wyrmhide			5	5000	dred	dred						res-all		30	35	ac%		400	500					block2		20	20	mana%		10	20	dex		25	25	allskills		2	2	sock		2	2	extra-all		6	6	hp%		10	10									0
The Gladiator's Bane	100	1		1	1	82	85	utu	Wire Fleece			5	5000	lgry	lgry						ac%		400	500	red-mag		20	30	red-dmg		40	50	sock		4	4	res-pois-len		25	25	hp%		20	20	balance2		33	33					nofreeze		1	1	red-dmg%		15	15	dmg%		75	100	res-all		25	35	0
Radamentvale	100	1		1	1	80	82	ula	Scarab Husk			5	5000	dgry	dgry						res-cold		60	60	res-pois		60	60	allskills		2	2	skill	Skeleton Mastery	4	5	skill	Raise Skeleton	4	5	sock		3	3	ac%		400	500	extra-pois		3	3	res-mag		20	20													0
Glassglare	100	1		100	1	80	84	ung	Diamond Mail			5	5000	whit	whit						ac%		400	500	ac		200	300	allskills		1	1	red-mag		10	20	indestruct		1	1	balance2		60	60					res-all		50	50	hp%		20	20	sock		3	3	stupidity		1	1					0
Hatestormcrest	100	1		1	1	80	84	ucl	Loricated Mail		 	5	5000	blac	blac						ac%		400	500	dmg%		75	100	deadly		10	10	oskill	Fanaticism	8	12	red-dmg%		15	20	allskills		2	2	sock		3	3	res-all		30	30	balance2		25	25													0
Constructforge	100	1		1	1	82	86	uhn	Boneweave			5	5000	oran	oran						ac%		400	500	ac		200	300	hp%		20	20	red-dmg%		20	20	res-mag		15	15	hpregen/lvl		24	24	ease		40	40	sock		3	3	res-all		30	40	res-pois-len		100	100									0
Arkaine's Valor	100	1		1	1	90	90	upl	Balrog Skin			5	5000	lred	lred						ac%		200	200	balance2		30	30	allskills		2	2	indestruct		1	1	res-all		30	30	vit		40	50	hp		150	200	extra-mag		3	3	sock		3	3	res-mag		30	30	magskill		1	2	ease		-33	-33	0
Darkfear	100	1		1	1	88	88	ult	Hellforged Plate			5	5000	blac	blac						ac%		400	500	res-all		25	35	sock		3	3	swing2		40	40	fireskill		2	3					extra-fire		3	3	hp%		10	10	skill	Holy Fire	4	6													0
Leviathan	100	1		1	1	82	84	uld	Kraken Shell			5	5000	cgrn	cgrn						ac%		400	500	ac		100	200	red-dmg%		25	30	str		30	50	rep-dur	10			res-all		30	30	block2		40	40	block		20	20	hp%		25	25	sock		3	3									0
Glorycrest	100	1		1	1	86	88	uth	Lacquered Plate			5	5000	dyel	dyel						allskills		4	4	gold%		25	50	mag%		50	100	sock		3	3	hpregen/lvl	24			res-all		30	50	red-dmg		20	30	red-mag		20	30																	0
Steel Carapice	100	1		1	1	90	90	uul	Shadow Plate			5	5000	dgry	dgry						ac%		400	500	balance2		33	33	red-dmg%		10	10	res-all		30	30	sock		4	4	allskills		1	1	hpregen/lvl	24			hp%		15	15	dmg%		100	120	move2		30	30	red-dmg		30	40	red-mag		20	30	0
Templar's Might	100	1		1	1	95	95	utp	Archon Plate	1		5	5000	cgrn	cgrn						ac%		400	500	allskills		3	3	heal-kill		60	80	hp%		10	10	regen-mana		50	50	red-dmg%		10	10	hpregen/lvl	24			res-all		40	40	cast2		30	30	mana%		40	50	sock		4	4	skill-rand	3	6	215	0
Tyrael's Might	100	1		1	1	95	95	uar	Sacred Armor	1		5	5000	blac	blac		invaar4				balance2		100	100	res-mag		30	30	ac%		400	500	allskills		2	2	nofreeze		1	1	red-dmg%		30	30	res-all		50	50	dmg%		100	100	sock		4	4	red-mag		20	30	hp%		20	20	manasteal		5	5	0
Warriv's Warder	100	1		100	1	72	75	uuc	Heater			5	5000				invbucu				ac%		400	500	res-all		30	40	sock		3	3	fireskill		2	3	block		30	30	extra-fire		3	3	cast2		15	25	block2		40	40																	0
Blackoak Shield	100	1		1	1	71	76	uml	Luna			5	5000				invsmlu				ac%		400	500	sock		3	3	res-all		30	40	abs-cold%		2	2	res-cold		40	40	block2		30	30	hp		100	120	dex		40	50	ac		100	200	coldskill		2	2	extra-cold		3	3	extra-phys		3	3	0
Revenge	100	1		1	1	74	78	urg	Hyperion			5	5000				invlrgu				ac%		400	500	hpregen/lvl	20			sock		3	3	res-all		30	40	dmg-elem	200	250	500	block2		40	40	skill	Vengeance	5	5	red-dmg%		15	15	block		30	30	fireskill		2	2	coldskill		2	2	ltngskill		2	2	0
Stormshield	100	1		1	1	78	82	uit	Monarch			5	5000				invkitu				ac%		400	500	red-dmg%		35	35	str		30	30	block2		40	50	res-all		30	35	res-ltng		20	25	block		40	50	sock		3	3	ltngskill		2	3	extra-ltng		3	3					allskills		1	1	0
Spirit Ward	100	1		1	1	95	95	uts	Ward	1		5	5000	dblu	dblu						ac%		400	500	red-mag		20	20	res-all		50	50	block2		40	50	allskills		2	2	block		40	50	sock		4	4	res-pois-len		50	100	nofreeze		1	1	abs-elem%		1	1									0
Medusa's Gaze	100	1		1	1	92	90	uow	Aegis			5	5000	dgry	dgry						ac%		400	500	red-dmg%		20	20	block		40	50	block2		40	50	hp		200	300	res-all		20	30	slow		5	5	sock		3	3	allskills		2	2	dmg%		50	75	res-mag		15	25					0
Spike Thorn	100	1		1	1	80	84	upk	Blade Barrier			5	5000	dyel	dyel		invspku				ac%		400	500	red-dmg%		15	15	noheal		1	1	balance2		50	50	gethit-skill	604	10	1	sock		3	3	reanimate	529	5	5	block		30	40	block2		30	40	res-mag		20	25	dmg/lvl	3			res-all		40	40	0
Headhunter's Glory	100	1		1	1	80	84	ush	Troll Nest			5	5000				invbshu				ac%		400	500	res-all		50	50	sock		3	3	heal-kill		45	60	allskills		3	3	block		30	30	block2		30	30	hpregen/lvl	16			mana-kill		45	60	cast2		35	35	extra-all		3	3					0
Mothernature	100	1		100	1	79	83	ulg	Bramble Mitts			5	5000	dgrn	dgrn						hp		60	80	mana		60	80	fireskill		2	3	coldskill		2	3	res-fire		30	30	res-cold		30	30	extra-fire		3	5	red-mag		6	8	cast2		15	30	extra-cold		3	5									0
Souldrain	100	1		1	1	81	85	umg	Vambraces			5	5000	dred	dred						allskills		2	2	cast2		15	15	res-all		10	15	heal-kill		30	40	hpregen/lvl	16			vit		20	25	enr		20	25	extra-mag		4	5	extra-pois		4	5													0
Dracul's Grasp	100	1		1	1	70	75	uvg	Vampirebone Gloves			5	5000	dred	dred						ac%		400	500	lifesteal		2	2	openwounds		25	25	melee-skill	606	6	1	heal-kill		20	25	str		10	15	move2		20	20	dex		15	20	swing2		20	20	deadly		10	10									0
Championfist	100	1		1	1	92	90	utg	Crusader Gauntlets			5	5000	bwht	bwht						ac%		400	500	swing2		50	50	str		10	10	dex		20	20	deadly		25	25	res-mag		10	10	att		200	250	lifesteal		2	4	crush		2	2	hp		80	120									0
Steelrend	100	1		1	1	95	95	uhg	Ogre Gauntlets	1		5	5000	oran	oran						ac%		400	500	str		20	30	dmg%		50	75	lifesteal		3	5	red-dmg%		10	10	crush		3	3	att		100	150	ease		15	15	hp		100	200													0
Hand of God	100	1		1	1	95	95	a10	Adamant Gauntlets	1		5	5000	whit	whit						ac%		400	500	magskill		2	3	str		10	15	cast2		20	20	res-all		10	20	hp		80	120	extra-mag		4	5	skill	Fist of the Heavens	1	2	regen-mana		40	60													0
Stormwalk	100	1		100	1	76	80	ulb	Wyrmhide Boots			5	5000	whit	whit						ac%		400	500	ltngskill		2	3	move2		30	30	balance2		30	30	res-all		10	15					res-ltng		40	40	regen-mana		30	40	mana%		10	20													0
Sandstorm Trek	100	1		1	1	74	78	uvb	Scarabshell Boots			5	5000								ac%		400	500	coldskill		2	3	str		12	16	dex		12	16	balance2		20	20	res-cold		40	40	skill	177	1	3	red-dmg%		12	16	res-all		10	15													0
Marrowwalk	100	1		1	1	80	84	umb	Boneweave Boots			5	5000	dgry							ac%		400	500	move2		40	40	magskill		2	3	extra-mag		4	5	dex		10	10	vit		10	10	res-mag		15	15	balance2		20	20	res-all		10	15													0
Forsakenmoon	100	1		1	1	80	85	utb	Mirrored Boots			5	5000	blac	blac						ac%		400	500	move2		40	40	red-dmg%		10	10	skill	Rabies	3	5	skill	Fire Claws	3	5	skill	Hunger	3	4	hp		80	120	res-all		25	25																	0
Shadowdancer	100	1		1	1	95	95	uhb	Myrmidon Greaves	1		5	5000	blac	blac						ac%		400	500	move2		50	50	balance2		50	50	dex		20	30	str		10	20	hp		150	200	red-dmg%		8	12	deadly		25	25	att		150	200	crush		2	3	lifesteal		5	5					0
Arachnid Mesh	100	1		100	1	66	70	ulc	Spiderweb Sash			5	5000	blac	blac						ac%		400	500	cast2		15	25	allskills		2	2	mana%		15	15	skill	Venom	3	5	slow		5	5	res-pois-len		50	50	res-pois		30	40	hp		60	80													0
Nosferatu's Coil	100	1		1	1	71	75	uvc	Vampirefang Belt			5	5000	dred	dred						ac%		400	500	res-all		10	15	str		25	25	lifesteal		5	10	swing2		25	25	pierce		25	25	vit		25	25	resistcurse		25	25	dex		15	15													0
Verdugo's Hearty Cord	100	1		1	1	75	80	umc	Mithril Coil			5	5000	blac	blac						ac%		400	500	vit		30	40	balance2		40	40	red-dmg%		15	15	hpregen/lvl	16			ease		75	75	red-dmg		30	50	res-mag		10	20	ac		100	200	hp		80	120									0
Immortalflesh	100	1		1	1	81	85	utc	Troll Belt			5	5000	cgrn	cgrn						hp%		10	10	ac%		400	500	res-mag		10	15	allskills		2	2	oskill	99	4	5	red-mag		30	50	hp		80	100																					0
Worldstone	100	1		1	1	95	95	uhc	Colossus Girdle	1		5	5000	cred	cred						ac%		400	500	balance2		40	40	red-dmg%		10	15	res-all		15	20	allskills		1	1	str		20	25	nofreeze		1	1	ac		400	500	res-mag		15	20	hp%		5	10	manasteal		5	5					0
ACCESSORIES																																																																					0
Dwarf Star	100	1		6	1	50	53	rin	Ring			5	5000	dred	dred		invrin2u				hp		45	65	abs-fire%		2	3	dmg-fire		100	200	str		15	20	red-mag		10	12	fireskill		1	1	res-fire		30	30																					0
Raven Frost	100	1		6	1	51	54	rin	Ring			5	5000	cblu	cblu		invrin3u				nofreeze		1	1	res-cold		30	30	abs-cold%		2	3	mana		40	60	dex		15	20					dmg-cold	100	100	200	att		150	250	coldskill		1	1													0
ShockAbsorber	100	1		6	1	53	55	rin	Ring			5	5000	dyel	dyel		invrin4u				move2		10	10	dmg-ltng		1	300	mag%		20	30	swing2		10	10	ltngskill		1	1	res-ltng		30	30	dex		15	20	abs-ltng%		2	3																	0
Carrion Wind	100	1		6	1	63	68	rin	Ring			5	5000				invrin6u				lifesteal		6	9	res-pois		55	55	gethit-skill	609	10	35	ac		120	160	hp%		5	5	res-pois-len		50	50	poisskill		1	1																					0
Nature's Peace	100	1		6	1	74	77	rin	Ring			5	5000	dgrn	dgrn		invrin7u				noheal		1	1	rip		1	1	red-dmg		8	16	red-mag		8	16	res-pois		30	30					res-all		15	20																					0
Bul Katho's Wedding Band	100	1		6	1	62	66	rin	Ring			5	5000	dpur	dpur		invrin5u				hp/lvl	12			allskills		1	1	lifesteal		3	6	res-mag		10	10	mag%		25	30	dmg-min		1	10	dmg-max		1	10	res-all		1	10																	0
Constricting Ring	100	1		1	1	97	97	rin	Ring			5	5000	cblu	cblu		invrin9u				res-all		15	25	mag%		50	50	vit		10	15	enr		10	15	str		10	15	dex		10	15	lifesteal		5	7					allskills		2	2													0
The Cat's Eye	100	1		6	1	58	58	amu	Amulet			5	5000	oran	oran		invamu5u				move2		30	30	swing2		20	20	res-all		20	20	enr		40	40	dex		25	35	allskills		1	1	ac		200	200	hp%		1	5																	0
Saracen's Chance	100	1		6	1	54	54	amu	Amulet			5	5000	dpur	dpur		invamu4u				all-stats		12	12	res-all		20	30	allskills		1	1	res-mag		15	25					hp		60	80																									0
Crescent Moon	100	1		6	1	58	58	amu	Amulet			5	5000	lblu	lblu		invamu6u				manasteal		11	15	red-mag		12	18	dmg-to-mana		10	10	res-all		20	20	lifesteal		3	6	allskills		1	1	skilltab	16	3	3	hp%		4	6																	0
Atma's Scarab	100	1		6	1	60	62	amu	Amulet			5	5000	cgrn	cgrn		invamu7u				str		30	30	res-all		10	10	hit-skill	604	6	1	att%		200	200	allskills		1	1					res-pois-len		30	50					heal-kill		20	30													0
The Rising Sun	100	1		4	1	95	95	amu	Amulet			5	5000	lgld	lgld		invamu8u				red-mag		20	25	red-dmg		20	25	res-pois-len		50	75	att		250	500	swing2		30	30	res-all		40	50	allskills		2	2					cast2		15	25	res-mag		10	10									0
FamiliarIcon	100	1		5	1	92	90	amu	Amulet			5	5000	dpur	dpur		invamu3x				allskills		2	2	reanimate	14	1	1	reanimate	121	1	1	reanimate	126	1	1	reanimate	134	1	1	reanimate	140	1	1	reanimate	216	1	1	reanimate	248	1	1	reanimate	446	1	1	res-all		40	40	reanimate	492	1	1	mag%		50	100	0
Seraph's Hymn	100	1		6	1	73	73	amu	Amulet			5	5000	bwht	bwht		invamu0u				allskills		2	2	skilltab	11	1	3	skilltab	10	1	3	dmg-demon		150	200	dmg-undead		150	200	att-demon		250	300	att-undead		250	300																					0
Wisp	100	1		4	1	84	84	rin	Ring			5	5000	bwht	bwht		invrin8u				mag%		20	40	charged	Oak Sage	16	12	charged	Heart of Wolverine	16	12	balance2		20	20	res-all		10	15	hp		50	100	mana		50	100	charged																				0
Highlord's Wrath	100	1		6	1	73	73	amu	Amulet			5	5000	bwht	bwht		invamu9u				res-all		35	40	move2		40	40	allskills		1	1	deadly		20	20	balance2		40	40	swing2		40	40	dmg-mag		150	300	dmg-ltng		1	900	dmg-cold	50	250	500	dmg-fire		250	500	dex		20	30					0
Mara's Kaleidoscope	100	1		4	1	80	80	amu	Amulet			5	5000	oran	oran		invamu1x				allskills		2	2	res-all		35	40	all-stats		10	10	mana%		25	25	hp		60	120	cast2		20	30																									0
Metalgrid	100	1		4	1	85	85	amu	Amulet			5	5000				invamu2x				ac		500	600	res-all		40	50	att		500	600	charged	IronGolem	20	40	charged	76	20	30	allskills		1	1	res-mag		10	10	res-pois-len		40	60	hp		100	200													0
Ardural's Icon	100	1		6	1	70	70	amu	Amulet			5	5000				invamu4x				allskills		2	2	hp		60	80	reanimate	76	5	5	cast2		15	25	res-cold		40	50	res-ltng		40	50	charged	91	30	1	gethit-skill	601	10	40																	0
WirtsLegacy	100			1		30	60	cm9	Jewel			5	5000	oran	oran		invjwu8				gold%		20	80	mag%		20	30	ease		-10	-10	all-stats		5	5	res-all		10	10	cheap		0	2																									0
Gheed's Fortune	100	1		15		75	75	cm3	charm		1	5	5000	lgld			invchm4u				mag%		40	40	gold%		80	80	cheap		10	10	addxp		5	5	hp		1	80																													0
Annihilus	100	1		1		95	95	cl9	eye		1	5	5000			flpeye	invanni	item_monsterguts	12	item_monsterguts	allskills		1	1	all-stats		10	15	res-all		10	15	addxp		5	10																																	0
Storm Facet	100	1		6	1	85	85	jew	jewel			3	5000	lgld	lgld		invjwu4				dmg-ltng		1	150					extra-ltng		2	3																																					0
Frost Facet	100	1		6	1	85	85	jew	jewel			3	5000	cblu	cblu		invjwu2				dmg-cold	200	50	100					extra-cold		2	3																																					0
Flame Facet	100	1		6	1	85	85	jew	jewel			3	5000	cred	cred		invjwu3				dmg-fire		60	90					extra-fire		2	3																																					0
Plague Facet	100	1		6	1	85	85	jew	jewel			3	5000	cgrn	cgrn		invjwu1				dmg-pois	150	1250	1250					extra-pois		2	3																																					0
Arcane Facet	100	1		6	1	85	85	jew	jewel			3	5000	whit	whit		invjwu6				dmg-mag		40	110					extra-mag		2	3																																					0
Force Facet	100	1		6	1	85	85	jew	jewel			3	5000	blac	blac		invjwu5				dmg%		50	60	dmg-min		4	6	dmg-max		8	10																																					0
Ancient Facet	100	1		6	1	85	85	jew	jewel			3	5000	dpur	dpur		invjwu5				extra-phys		2	3																																													0
Mystical Facet	100					85	85	jew	jewel			3	5000	blac	blac		invjwu5																																																				0
Rainbow Facet	100	1		3	1	85	85	jew	jewel			3	5000	oran	oran		invjwu4				extra-all		2	3																																													0
XpCharm	100	1		1		1	40	cm4	soulstone		1	3	5000			flpmss	invchm1u	item_gem	12	item_gem	addxp		5	5	regen		33	33																																									0
HpCharm	100	1		1		1	70	cm4	soulstone		1	3	5000			flpmss	invchm2u	item_gem	12	item_gem	hp		50	100	mana		50	100	regen		33	33	addxp		5	5																																	0
SkCharm	100	1		1		99	99	cl8	brain		1	3	5000			flpbrnz	invchm3u	item_monsterguts	12	item_monsterguts	allskills		3	3	regen		33	33	addxp		5	5																																					0
BaalSoulstone	100	1		1	1	70	97	cm16	soulstone		1	3	5000			flpmss	invchm9u	item_gem	12	item_gem	allskills		1	1	str		5	5	hp		30	40	mana		30	40																																	0
DiabloSoulstone	100	1		1	1	70	95	cm15	soulstone		1	3	5000			flpmss	invchm8u	item_gem	12	item_gem	allskills		1	1	dex		5	5	hp		30	40	mana		30	40																																	0
MephSoulstone	100	1		1	1	70	92	cm14	soulstone		1	3	5000			flpmss	invchm7u	item_gem	12	item_gem	allskills		1	1	vit		5	5	hp		30	40	mana		30	40																																	0
DurielSoulstone	100	1		1	1	70	88	cm13	soulstone		1	3	5000			flpmss	invchm6u	item_gem	12	item_gem	allskills		1	1	enr		5	5	hp		30	40	mana		30	40																																	0
AndySoulstone	100	1		1	1	70	84	cm12	soulstone		1	3	5000			flpmss	invchm5u	item_gem	12	item_gem	allskills		1	1	hp		30	40	mana		30	40																																					0
AmaJewel	100	1		1		95	99	cl1	heart		1	5	5000			flphrt	invhrt	item_monsterguts	12	item_monsterguts	ama		2	2	hp		50	100	mana		50	100	dex		20	20	res-all		15	15																													0
SorJewel	100	1		1		95	99	cl2	heart		1	5	5000			flphrt	invhrt	item_monsterguts	12	item_monsterguts	sor		2	2	hp		50	100	mana		50	100	hp%		10	10	res-all		15	15																													0
BarJewel	100	1		1	1	95	99	cl3	heart		1	5	5000			flphrt	invhrt	item_monsterguts	12	item_monsterguts	bar		2	2	hp		50	100	mana		50	100	res-mag		10	10	res-all		15	15																													0
PalJewel	100	1		1		95	99	cl4	heart		1	5	5000			flphrt	invhrt	item_monsterguts	12	item_monsterguts	pal		2	2	hp		50	100	mana		50	100	red-dmg%		10	10	res-all		15	15																													0
NecJewel	100	1		1		95	99	cl5	heart		1	5	5000			flphrt	invhrt	item_monsterguts	12	item_monsterguts	nec		2	2	hp		50	100	mana		50	100	hp%		10	10	res-all		15	15																													0
DruJewel	100	1		1		95	99	cl6	heart		1	5	5000			flphrt	invhrt	item_monsterguts	12	item_monsterguts	dru		2	2	hp		50	100	mana		50	100	balance2		50	50	res-all		15	15																													0
AssJewel	100	1		1		95	99	cl7	heart		1	5	5000			flphrt	invhrt	item_monsterguts	12	item_monsterguts	ass		2	2	hp		50	100	mana		50	100	res-pois-len		50	50	res-all		15	15																													0
CLASS SPECIFIC																																																																					0
Steelforge	100	1		1	1	15	20	ba2	Fanged Helm			5	5000								bar		1	1	ac%		200	300	dmg-norm		4	8	sock		2	2	res-mag		10	10	skill-rand	1	131	155	str		10	10																					0
Forcefist	100	1		1	1	35	40	ba4	Assault Helmet			5	5000								bar		2	2	ac%		200	300	dmg-norm		6	12	att		75	100	str		10	10	dex		10	10	sock		2	2					res-mag		15	15					skill-rand	2	131	155					0
Ageofwrath	100	1		1	1	55	60	ba6	Jawbone Visor			5	5000								bar		3	3	ac%		300	400	balance2		40	40	red-dmg%		15	15	sock		2	2	cast2		15	25	res-all		25	25									skill-rand	2	131	155									0
Wolfhowl	100	1		1	1	60	65	ba9	Savage Helmet			3	5000	cred	cred						ac%		300	400	skilltab	13	4	4	str		12	15	dex		12	15	vit		12	15	skill-rand	3	131	155	sock		3	3	res-mag		15	15	lifesteal		4	4	move2		30	30	res-all		25	25	charged	172	20	20	0
Arreat's Face	100	1		1	1	65	70	ba8	Rage Mask			5	5000								bar		3	3	ac%		300	400	dex		15	15	res-all		20	30	sock		3	3	str		15	15					res-mag		20	20	skill-rand	2	131	155	skill-rand	2	131	155									0
Halaberd's Reign	100	1		100	1	82	85	bac	Fury Visor			5	5000								ac%		400	500	bar		5	5					cast2		20	30	sock		3	3					skilltab	14	2	3	res-all		30	40					skill-rand	2	131	155	skill-rand	2	131	155					0
Demonhorn's Edge	100	1		1	1	95	95	baf	Guardian Crown	1		5	5000	dgry	dgry						ac%		400	500	res-all		40	50	lifesteal		5	5	dmg-demon		200	300	red-dmg%		15	20	dmg%		50	75					bar		5	5	sock		3	3	hp%		15	15	res-mag		15	20	skill-rand	2	131	155	0
Decayingwretch	100	1		1	1	15	20	ne2	Zombie Head			5	5000								nec		1	1	extra-mag		6	6	sock		2	2	extra-pois		6	6	res-all		20	25	skill-rand	1	66	95																									0
Voodoodoll	100	1		1	1	35	40	ne4	Gargoyle Head			5	5000								nec		2	2	ac%		200	300	cast2		15	15	res-all		25	35	sock		1	1									skill-rand	2	66	95																	0
Livingskull	100	1		1	1	55	60	ne6	Mummified Trophy			5	5000								nec		2	2	ac%		200	300	cast2		20	20	sock		3	3	reanimate	4	5	5	res-all		30	30	extra-pois		3	3	res-mag		10	10	skill-rand	2	66	95	skill-rand	2	66	95	move2		20	20					0
Homunculus	100	1		1	1	65	70	ne8	Sexton Trophy			5	5000								nec		3	3	ac%		300	400	block-fbr		25	25					enr		20	20					res-all		30	40	sock		3	3	cast2		25	25	skill-rand	2	66	95	skill-rand	2	66	95	hp%		5	5	0
Radamentswill	100	1		1	1	80	85	ned	Overseer Skull			5	5000								ac%		300	400	nec		3	3	skill	Raise Skeletal Mage	3	5	skill	Skeleton Mastery	3	5	skill	Revive	3	5	skill	Raise Skeleton	3	5	sock		3	3	summlife		10	10																	0
Boneflame	100	1		100	1	82	85	neg	Hellspawn Skull			3	5000	dred	dred						nec		4	4	hp%		5	10	res-all		30	40	cast2		25	25	sock		4	4	block		30	30					reanimate	304	5	5																	0
Darkforge Spawn	100	1		1	1	95	95	nef	Bloodlord Skull	1		5	5000	cred	cred						ac%		400	500	cast2		50	50	hp%		15	15	res-mag		15	15	nec		5	5	res-all		40	50	block		40	40	block2		40	40	sock		4	4	red-dmg%		10	10	skill-rand	2	66	95	skill-rand	2	66	95	0
Dryadoak	100	1		1	1	15	20	am1	Stag Bow			5	5000								ama		1	1	dmg-norm		15	22	dex		10	10	manasteal		5	5	sock		2	2	swing2		20	20	extra-cold		4	4	extra-fire		4	4																	0
Lycander's Aim	100	1		1	1	65	70	am7	Ceremonial Bow			5	5000								ama		2	2	swing2		60	60	dmg-norm		40	100	dex		20	20	enr		20	20	manasteal		8	10	sock		2	2					extra-fire		10	15	skilltab	0	3	3									0
